snr,bErr
0,0.268254901960785
2,0.221921568627451
4,0.183921568627452
6,0.151764705882354
8,0.12807843137255
10,0.114745098039217
12,0.0995686274509813
14,0.094470588235295
16,0.0875098039215694
18,0.0874313725490205
20,0.0846274509803931
22,0.0852156862745106
24,0.0860000000000008
26,0.0833725490196087
28,0.0841176470588242
30,0.081313725490197
32,0.0834313725490204
34,0.0822156862745106
36,0.0803921568627459
38,0.0813333333333341
40,0.0811960784313734
42,0.0797647058823536
44,0.0780588235294125
46,0.0797450980392164
48,0.0805686274509813
50,0.0858431372549029
