snr,bErr
0,0.336509803921569
2,0.303058823529412
4,0.277392156862746
6,0.249254901960785
8,0.234372549019609
10,0.223254901960785
12,0.213568627450981
14,0.209196078431373
16,0.207372549019609
18,0.201980392156864
20,0.203039215686275
22,0.199725490196079
24,0.202313725490197
26,0.200137254901962
28,0.199705882352942
30,0.198372549019609
32,0.199745098039216
34,0.197627450980393
36,0.198215686274511
38,0.197058823529413
40,0.20072549019608
42,0.200176470588236
44,0.200803921568628
46,0.201588235294119
48,0.201725490196079
50,0.198450980392158
