snr,bErr
0,0.305627450980393
2,0.267980392156863
4,0.233156862745099
6,0.208117647058824
8,0.191372549019609
10,0.173921568627452
12,0.162764705882354
14,0.157411764705883
16,0.154254901960785
18,0.15186274509804
20,0.149274509803922
22,0.150901960784315
24,0.148117647058824
26,0.14864705882353
28,0.14829411764706
30,0.149568627450981
32,0.14543137254902
34,0.146941176470589
36,0.144529411764707
38,0.148588235294119
40,0.147960784313727
42,0.149372549019609
44,0.151352941176471
46,0.150921568627452
48,0.146039215686275
50,0.150196078431373
