snr,bErr
0,0.387901960784314
2,0.364098039215687
4,0.344450980392157
6,0.327294117647059
8,0.312568627450981
10,0.301333333333333
12,0.299294117647059
14,0.294941176470588
16,0.292019607843137
18,0.287058823529412
20,0.289450980392157
22,0.286843137254902
24,0.287568627450981
26,0.293549019607844
28,0.289470588235294
30,0.288078431372549
32,0.287352941176471
34,0.289333333333333
36,0.289490196078432
38,0.288803921568628
40,0.287019607843137
42,0.290196078431373
44,0.289901960784314
46,0.287549019607844
48,0.284803921568628
50,0.291568627450981
