snr,bErr
0,0.355607843137255
2,0.330176470588236
4,0.302235294117648
6,0.282666666666667
8,0.267745098039216
10,0.259941176470589
12,0.250686274509805
14,0.247784313725491
16,0.244117647058824
18,0.244000000000001
20,0.239803921568628
22,0.240745098039216
24,0.238627450980393
26,0.235372549019609
28,0.239058823529413
30,0.238313725490197
32,0.239764705882354
34,0.236803921568628
36,0.24007843137255
38,0.238705882352942
40,0.23786274509804
42,0.239254901960785
44,0.238254901960785
46,0.242803921568628
48,0.240588235294119
50,0.23743137254902
