snr,bErr
0,0.369529411764707
2,0.348725490196079
4,0.32364705882353
6,0.307117647058824
8,0.294058823529412
10,0.282490196078432
12,0.276725490196079
14,0.276882352941177
16,0.27278431372549
18,0.27086274509804
20,0.269549019607844
22,0.265450980392157
24,0.26486274509804
26,0.267588235294118
28,0.264784313725491
30,0.269941176470589
32,0.265823529411766
34,0.269156862745099
36,0.267058823529413
38,0.264392156862746
40,0.263
42,0.266196078431373
44,0.266294117647059
46,0.262745098039216
48,0.266764705882354
50,0.268490196078432
