snr,bErr
0,0.218509803921569
2,0.163098039215687
4,0.119117647058824
6,0.0819607843137263
8,0.0568823529411771
10,0.0358823529411765
12,0.0237254901960784
14,0.0159215686274509
16,0.0107254901960784
18,0.00703921568627449
20,0.00394117647058823
22,0.00315686274509803
24,0.00254901960784313
26,0.00186274509803921
28,0.00129411764705882
30,0.00117647058823529
32,0.00133333333333333
34,0.00109803921568627
36,0.00123529411764706
38,0.000921568627450981
40,0.000941176470588236
42,0.000901960784313726
44,0.000764705882352941
46,0.000882352941176471
48,0.000823529411764706
50,0.000784313725490196
