snr,bErr
0,0.394823529411766
2,0.372980392156863
4,0.356078431372549
6,0.336843137254903
8,0.327725490196079
10,0.319450980392157
12,0.318490196078432
14,0.310294117647059
16,0.307450980392157
18,0.306843137254902
20,0.306450980392157
22,0.303960784313726
24,0.303509803921568
26,0.302176470588236
28,0.302078431372549
30,0.306960784313725
32,0.304960784313726
34,0.305078431372549
36,0.30321568627451
38,0.305039215686275
40,0.304666666666667
42,0.30486274509804
44,0.305882352941177
46,0.306019607843138
48,0.307078431372549
50,0.305627450980392
