snr,bErr
-20,0.7390234375
-18,0.73396875
-16,0.7272578125
-14,0.7165625
-12,0.69453125
-10,0.6700078125
-8,0.6273125
-6,0.5816328125
-4,0.516015625
-2,0.44284375
0,0.3644765625
2,0.28521875
4,0.212984375
6,0.1514140625
8,0.103828125
10,0.068421875
12,0.0457578125
14,0.029359375
16,0.0194140625
18,0.01234375
20,0.007953125
22,0.0052265625
24,0.0030703125
26,0.001953125
28,0.0011328125
