snr,bErr
-20,0.73909375
-18,0.7326484375
-16,0.7283671875
-14,0.7128203125
-12,0.6947734375
-10,0.6671015625
-8,0.6287734375
-6,0.5796875
-4,0.519546875
-2,0.4470859375
0,0.362921875
2,0.2838671875
4,0.210765625
6,0.1495078125
8,0.1058828125
10,0.0702578125
12,0.04453125
14,0.0279375
16,0.0184296875
18,0.01253125
20,0.0076171875
22,0.004421875
24,0.0028359375
26,0.002046875
28,0.0012578125
