snr,bErr
0,0.305411764705883
2,0.267156862745099
4,0.234686274509805
6,0.206529411764707
8,0.188450980392158
10,0.176352941176471
12,0.166000000000001
14,0.161450980392158
16,0.156882352941177
18,0.154019607843138
20,0.151666666666668
22,0.150627450980393
24,0.148058823529413
26,0.151215686274511
28,0.144352941176471
30,0.148666666666668
32,0.14664705882353
34,0.146411764705883
36,0.150686274509805
38,0.147941176470589
40,0.150980392156863
42,0.148254901960785
44,0.14707843137255
46,0.151901960784315
48,0.146156862745099
50,0.148274509803922
