snr,bErr
0,0.396980392156864
2,0.379156862745099
4,0.355137254901961
6,0.339333333333334
8,0.331058823529412
10,0.320019607843137
12,0.313960784313726
14,0.309254901960784
16,0.308235294117647
18,0.305980392156863
20,0.307156862745098
22,0.303117647058823
24,0.307882352941177
26,0.301588235294118
28,0.306058823529412
30,0.302078431372548
32,0.304372549019608
34,0.305176470588236
36,0.305803921568628
38,0.305843137254902
40,0.30435294117647
42,0.302705882352941
44,0.303137254901961
46,0.303294117647059
48,0.302941176470589
50,0.305921568627451
