snr,bErr
0,0.335960784313726
2,0.305176470588235
4,0.273411764705883
6,0.249509803921569
8,0.234509803921569
10,0.22186274509804
12,0.211764705882354
14,0.206254901960785
16,0.205764705882354
18,0.204549019607844
20,0.203450980392158
22,0.203333333333334
24,0.202627450980393
26,0.20243137254902
28,0.199313725490197
30,0.200941176470589
32,0.199843137254903
34,0.200392156862746
36,0.19943137254902
38,0.199764705882354
40,0.200549019607844
42,0.199137254901962
44,0.197039215686276
46,0.198235294117648
48,0.198941176470589
50,0.197156862745099
