snr,bErr
0,0.355686274509805
2,0.330313725490196
4,0.302039215686275
6,0.28
8,0.266019607843138
10,0.254588235294118
12,0.250686274509805
14,0.246745098039217
16,0.242980392156864
18,0.241117647058824
20,0.243960784313726
22,0.240294117647059
24,0.240274509803922
26,0.240980392156864
28,0.240019607843138
30,0.239372549019609
32,0.238607843137256
34,0.237745098039217
36,0.240745098039217
38,0.23829411764706
40,0.236901960784314
42,0.240666666666668
44,0.235039215686275
46,0.23450980392157
48,0.239588235294118
50,0.235882352941177
