snr,bErr
0,0.219980392156864
2,0.164607843137256
4,0.115588235294118
6,0.0808235294117655
8,0.0545098039215692
10,0.0387647058823531
12,0.0243529411764705
14,0.0155882352941176
16,0.0104705882352941
18,0.00715686274509802
20,0.00415686274509803
22,0.00323529411764705
24,0.00272549019607843
26,0.00196078431372549
28,0.00143137254901961
30,0.00133333333333333
32,0.00105882352941177
34,0.000980392156862746
36,0.00107843137254902
38,0.000960784313725491
40,0.000705882352941177
42,0.00101960784313726
44,0.00101960784313726
46,0.000725490196078431
48,0.000921568627450981
50,0.001
