snr,bErr
0,0.373549019607844
2,0.348450980392158
4,0.323509803921569
6,0.310568627450981
8,0.289960784313726
10,0.284372549019609
12,0.278529411764706
14,0.272823529411765
16,0.271607843137255
18,0.26843137254902
20,0.26729411764706
22,0.268509803921569
24,0.269509803921569
26,0.265803921568628
28,0.263509803921569
30,0.266235294117648
32,0.264019607843138
34,0.266078431372549
36,0.268549019607844
38,0.265098039215687
40,0.265392156862746
42,0.264000000000001
44,0.264058823529413
46,0.267196078431373
48,0.267333333333334
50,0.267078431372549
