snr,bErr
0,0.269490196078432
2,0.219490196078432
4,0.183215686274511
6,0.153764705882354
8,0.128921568627452
10,0.111745098039217
12,0.101549019607844
14,0.0907450980392166
16,0.0876078431372558
18,0.0883333333333341
20,0.0850392156862754
22,0.0824313725490204
24,0.0832745098039224
26,0.0837254901960792
28,0.0817058823529419
30,0.0808823529411773
32,0.0831176470588245
34,0.0813725490196087
36,0.0815882352941183
38,0.0814117647058832
40,0.0801372549019615
42,0.0839803921568636
44,0.0810392156862752
46,0.0801764705882361
48,0.0836078431372557
50,0.0824313725490204
