snr,bErr
0,0.195705882352942
2,0.139607843137256
4,0.100274509803923
6,0.0688235294117653
8,0.0444705882352945
10,0.0282745098039215
12,0.0196666666666666
14,0.012156862745098
16,0.00752941176470586
18,0.00498039215686273
20,0.00368627450980391
22,0.00233333333333333
24,0.00145098039215686
26,0.000784313725490196
28,0.000647058823529412
30,0.000490196078431372
32,0.000470588235294117
34,0.000352941176470588
36,0.000313725490196078
38,0.000235294117647059
40,0.000294117647058823
42,0.000215686274509804
44,0.000352941176470588
46,0.000215686274509804
48,0.000313725490196078
50,0.000196078431372549
