snr,bErr
0,0.154176470588236
2,0.109666666666668
4,0.0745686274509811
6,0.050274509803922
8,0.031549019607843
10,0.0214901960784313
12,0.0132941176470588
14,0.00823529411764704
16,0.0054313725490196
18,0.00264705882352941
20,0.00174509803921569
22,0.00127450980392157
24,0.000921568627450981
26,0.000549019607843137
28,0.000392156862745098
30,0.000294117647058823
32,0.000294117647058823
34,7.84313725490196e-05
36,0.000215686274509804
38,0.000137254901960784
40,9.80392156862745e-05
42,3.92156862745098e-05
44,5.88235294117647e-05
46,7.84313725490196e-05
48,9.80392156862745e-05
50,0.000117647058823529
