snr,bErr
0,0.156303571428571
2,0.1119375
4,0.0779776785714285
6,0.05225
8,0.0345491071428572
10,0.0211294642857143
12,0.0139196428571429
14,0.00933482142857142
16,0.0051830357142857
18,0.00350892857142857
20,0.00235714285714286
22,0.00133928571428572
24,0.00094642857142857
26,0.000513392857142857
28,0.00040625
30,0.000191964285714286
32,0.000125
34,0.000111607142857143
36,4.46428571428571e-05
38,2.23214285714286e-05
40,1.78571428571429e-05
42,4.46428571428571e-06
44,4.46428571428571e-06
46,4.46428571428571e-06
48,0
50,0
