snr,bErr
0,0.225209821428571
2,0.170669642857143
4,0.124401785714286
6,0.0857633928571429
8,0.0580848214285715
10,0.0371116071428572
12,0.0253169642857143
14,0.0152455357142857
16,0.00989285714285713
18,0.00645089285714282
20,0.00395982142857143
22,0.00255357142857143
24,0.00166517857142858
26,0.000937499999999998
28,0.000651785714285713
30,0.000455357142857143
32,0.000299107142857143
34,0.000165178571428571
36,0.000111607142857143
38,6.25e-05
40,4.01785714285714e-05
42,3.125e-05
44,2.23214285714286e-05
46,8.92857142857143e-06
48,1.33928571428571e-05
50,8.92857142857143e-06
