snr,bErr
0,0.209727678571429
2,0.156392857142857
4,0.110892857142857
6,0.0761651785714285
8,0.0515669642857143
10,0.0327232142857143
12,0.02109375
14,0.0135625
16,0.00873214285714283
18,0.00533035714285712
20,0.00332142857142857
22,0.00218303571428572
24,0.00136160714285715
26,0.000834821428571427
28,0.000575892857142857
30,0.000379464285714285
32,0.00021875
34,0.000116071428571429
36,9.82142857142857e-05
38,4.91071428571428e-05
40,2.67857142857143e-05
42,2.23214285714286e-05
44,1.33928571428571e-05
46,8.92857142857143e-06
48,0
50,4.46428571428571e-06
