snr,bErr
0,0.133040178571428
2,0.0930848214285715
4,0.0629151785714285
6,0.0412678571428572
8,0.0271339285714286
10,0.0169732142857143
12,0.0107544642857143
14,0.00734374999999997
16,0.00441517857142856
18,0.00320535714285714
20,0.00188392857142857
22,0.00112053571428571
24,0.000745535714285714
26,0.000375
28,0.000316964285714286
30,0.000191964285714286
32,9.375e-05
34,7.14285714285714e-05
36,2.67857142857143e-05
38,4.46428571428571e-06
40,1.78571428571429e-05
42,2.23214285714286e-05
44,8.92857142857143e-06
46,4.46428571428571e-06
48,0
50,0
