snr,bErr
0,0.171116071428571
2,0.125982142857143
4,0.0870535714285713
6,0.0595178571428572
8,0.0379375
10,0.0243571428571429
12,0.0163348214285715
14,0.0100446428571429
16,0.00632589285714283
18,0.00400892857142857
20,0.00266964285714286
22,0.00165625000000001
24,0.000999999999999998
26,0.00075892857142857
28,0.00046875
30,0.00028125
32,0.000160714285714286
34,0.000120535714285714
36,8.03571428571428e-05
38,4.01785714285714e-05
40,1.33928571428571e-05
42,1.33928571428571e-05
44,1.33928571428571e-05
46,4.46428571428571e-06
48,0
50,0
