snr,bErr
0,0.2185
2,0.162535714285715
4,0.116875
6,0.0804241071428573
8,0.0538571428571429
10,0.0346339285714286
12,0.0226517857142857
14,0.0147589285714286
16,0.00948660714285714
18,0.00615178571428568
20,0.00374107142857143
22,0.0024375
24,0.00157142857142858
26,0.000959821428571427
28,0.000593749999999999
30,0.000357142857142857
32,0.0003125
34,0.000147321428571429
36,8.03571428571428e-05
38,5.35714285714286e-05
40,5.80357142857143e-05
42,1.78571428571429e-05
44,0
46,1.78571428571429e-05
48,0
50,0
