snr,bErr
0,0.268629464285714
2,0.222892857142857
4,0.184848214285714
6,0.152638392857143
8,0.128075892857143
10,0.112607142857143
12,0.102044642857143
14,0.0939241071428571
16,0.0896339285714286
18,0.0853035714285713
20,0.0868839285714285
22,0.0813571428571428
24,0.0827723214285713
26,0.0826473214285714
28,0.0818794642857142
30,0.0812946428571429
32,0.0815044642857143
34,0.080580357142857
36,0.0807499999999999
38,0.0822589285714284
40,0.0823660714285715
42,0.0811473214285715
44,0.0802767857142858
46,0.0808705357142857
48,0.0813794642857142
50,0.0817589285714285
