snr,bErr
0,0.250075892857143
2,0.201397321428572
4,0.157008928571429
6,0.12378125
8,0.0995803571428572
10,0.0816339285714286
12,0.0699866071428572
14,0.0638214285714286
16,0.0556473214285714
18,0.0543749999999999
20,0.0513839285714285
22,0.0509241071428572
24,0.0506383928571429
26,0.0491026785714285
28,0.0497232142857143
30,0.0487901785714285
32,0.0479866071428571
34,0.0478660714285714
36,0.0481785714285714
38,0.0476160714285714
40,0.04775
42,0.0483035714285715
44,0.0468482142857143
46,0.04715625
48,0.0490892857142857
50,0.0480714285714286
