snr,bErr
0,0.199919642857143
2,0.146674107142857
4,0.104482142857143
6,0.0718660714285714
8,0.0466875
10,0.0311473214285714
12,0.0202678571428572
14,0.0123571428571429
16,0.00804017857142852
18,0.00470089285714284
20,0.00310267857142858
22,0.00205803571428572
24,0.00128571428571429
26,0.000928571428571427
28,0.000477678571428571
30,0.000379464285714286
32,0.000174107142857143
34,0.000138392857142857
36,7.14285714285714e-05
38,3.57142857142857e-05
40,3.57142857142857e-05
42,1.33928571428571e-05
44,4.46428571428571e-06
46,4.46428571428571e-06
48,4.46428571428571e-06
50,4.46428571428571e-06
