snr,bErr
0,0.36129411764706
2,0.327843137254902
4,0.297960784313726
6,0.283078431372549
8,0.266039215686275
10,0.259392156862746
12,0.251568627450982
14,0.247470588235295
16,0.243039215686275
18,0.242254901960785
20,0.241039215686276
22,0.239980392156864
24,0.243549019607844
26,0.238000000000001
28,0.238725490196079
30,0.236764705882354
32,0.235588235294118
34,0.238333333333334
36,0.238490196078432
38,0.238549019607844
40,0.238784313725491
42,0.238745098039217
44,0.239666666666667
46,0.238313725490197
48,0.235235294117648
50,0.237843137254903
