snr,bErr
0,0.389235294117648
2,0.359960784313727
4,0.344960784313726
6,0.330823529411765
8,0.313176470588235
10,0.302960784313725
12,0.298156862745098
14,0.296098039215686
16,0.287666666666667
18,0.28921568627451
20,0.285568627450981
22,0.289882352941177
24,0.286019607843138
26,0.28756862745098
28,0.290196078431373
30,0.287352941176471
32,0.28878431372549
34,0.288509803921569
36,0.287823529411765
38,0.285176470588236
40,0.286274509803922
42,0.283803921568628
44,0.28643137254902
46,0.287490196078432
48,0.287647058823529
50,0.289705882352941
