snr,bErr
0,0.371098039215687
2,0.348392156862745
4,0.323254901960785
6,0.309196078431373
8,0.299235294117648
10,0.283764705882353
12,0.279725490196078
14,0.272176470588236
16,0.270313725490196
18,0.271000000000001
20,0.270372549019608
22,0.26621568627451
24,0.267450980392157
26,0.265039215686275
28,0.26786274509804
30,0.269294117647059
32,0.268588235294118
34,0.268156862745099
36,0.264411764705883
38,0.266372549019608
40,0.266509803921569
42,0.267098039215687
44,0.266196078431373
46,0.267294117647059
48,0.266666666666667
50,0.268490196078432
