snr,bErr
0,0.304254901960785
2,0.268882352941177
4,0.235352941176472
6,0.205686274509805
8,0.189000000000001
10,0.17621568627451
12,0.163666666666668
14,0.162117647058825
16,0.156803921568628
18,0.155313725490197
20,0.149882352941177
22,0.14886274509804
24,0.146745098039216
26,0.147823529411765
28,0.147352941176471
30,0.147392156862746
32,0.146215686274511
34,0.149333333333334
36,0.149509803921569
38,0.14850980392157
40,0.148058823529413
42,0.148470588235295
44,0.149313725490197
46,0.147843137254903
48,0.150000000000001
50,0.14886274509804
