snr,bErr
0,0.15750980392157
2,0.108254901960785
4,0.0763137254901968
6,0.0477647058823534
8,0.0320980392156862
10,0.0219411764705882
12,0.0121176470588235
14,0.00839215686274507
16,0.00570588235294116
18,0.003
20,0.00219607843137255
22,0.00147058823529412
24,0.00117647058823529
26,0.000666666666666667
28,0.000490196078431372
30,0.000333333333333333
32,0.000137254901960784
34,0.000137254901960784
36,7.84313725490196e-05
38,0.000176470588235294
40,5.88235294117647e-05
42,0.000117647058823529
44,1.96078431372549e-05
46,7.84313725490196e-05
48,0.000137254901960784
50,3.92156862745098e-05
