snr,bErr
0,0.266117647058824
2,0.221529411764707
4,0.183274509803922
6,0.151882352941177
8,0.128666666666667
10,0.113823529411766
12,0.10086274509804
14,0.0949803921568637
16,0.0883137254901971
18,0.087156862745099
20,0.0844313725490204
22,0.0851176470588243
24,0.0839019607843146
26,0.0825882352941186
28,0.07786274509804
30,0.0822549019607851
32,0.0797647058823537
34,0.0834705882352948
36,0.0799803921568636
38,0.0826470588235302
40,0.0823137254901969
42,0.0796274509803929
44,0.0815098039215695
46,0.0819215686274517
48,0.082019607843138
50,0.0800980392156871
