snr,bErr
0,0.397647058823531
2,0.372823529411766
4,0.355529411764707
6,0.345725490196079
8,0.330862745098039
10,0.319607843137255
12,0.315235294117647
14,0.314176470588235
16,0.306
18,0.308745098039216
20,0.308333333333333
22,0.306117647058824
24,0.306058823529412
26,0.30278431372549
28,0.305294117647059
30,0.304117647058823
32,0.304156862745098
34,0.305137254901961
36,0.304686274509804
38,0.302745098039216
40,0.305039215686274
42,0.307941176470588
44,0.303509803921569
46,0.303529411764706
48,0.30621568627451
50,0.306823529411764
