snr,bErr
0,0.225529411764707
2,0.16543137254902
4,0.11843137254902
6,0.0809019607843146
8,0.0562352941176476
10,0.0350980392156863
12,0.0234313725490195
14,0.015313725490196
16,0.0109607843137255
18,0.00705882352941175
20,0.00474509803921567
22,0.00372549019607842
24,0.00262745098039215
26,0.00174509803921568
28,0.00154901960784314
30,0.00137254901960784
32,0.00109803921568627
34,0.00107843137254902
36,0.000941176470588236
38,0.00129411764705882
40,0.000803921568627451
42,0.000725490196078431
44,0.000823529411764706
46,0.000862745098039216
48,0.000901960784313726
50,0.000823529411764706
