snr,bErr
0,0.25003125
2,0.198995535714286
4,0.156901785714286
6,0.123973214285714
8,0.0995669642857143
10,0.0833035714285714
12,0.0704017857142857
14,0.0613839285714286
16,0.0559866071428572
18,0.0524285714285714
20,0.0525758928571428
22,0.0495580357142857
24,0.0495892857142857
26,0.0474642857142857
28,0.0479017857142857
30,0.0491696428571429
32,0.0478705357142858
34,0.0482857142857143
36,0.0473794642857143
38,0.0478660714285715
40,0.0474285714285714
42,0.0499151785714286
44,0.0483080357142857
46,0.0477589285714286
48,0.0475223214285714
50,0.0492857142857142
