snr,bErr
0,0.134107142857143
2,0.0935044642857141
4,0.0650133928571428
6,0.0403705357142857
8,0.0274241071428572
10,0.0178080357142857
12,0.0110580357142857
14,0.00691517857142855
16,0.00411607142857143
18,0.00279910714285715
20,0.00178125
22,0.00107589285714286
24,0.000723214285714285
26,0.000392857142857143
28,0.000254464285714286
30,0.000129464285714286
32,0.000169642857142857
34,8.48214285714285e-05
36,4.91071428571428e-05
38,1.33928571428571e-05
40,1.78571428571429e-05
42,8.92857142857143e-06
44,0
46,0
48,4.46428571428571e-06
50,0
