snr,bErr
0,0.227316964285714
2,0.170589285714286
4,0.124357142857143
6,0.0854553571428572
8,0.0569910714285714
10,0.0377857142857142
12,0.0241071428571429
14,0.01609375
16,0.0105267857142857
18,0.0063303571428571
20,0.00404464285714286
22,0.00244642857142858
24,0.00151339285714286
26,0.00104910714285714
28,0.000535714285714285
30,0.000370535714285714
32,0.000267857142857143
34,0.000125
36,7.14285714285714e-05
38,7.58928571428571e-05
40,4.91071428571428e-05
42,2.67857142857143e-05
44,8.92857142857143e-06
46,4.46428571428571e-06
48,4.46428571428571e-06
50,0
