snr,bErr
0,0.217017857142857
2,0.161723214285714
4,0.115441964285714
6,0.0795
8,0.0533169642857143
10,0.0356294642857144
12,0.0227767857142857
14,0.0148258928571429
16,0.00902232142857141
18,0.00624553571428567
20,0.00396428571428571
22,0.00235714285714286
24,0.00152232142857143
26,0.000950892857142855
28,0.000584821428571428
30,0.000419642857142857
32,0.000200892857142857
34,0.000142857142857143
36,7.58928571428571e-05
38,6.25e-05
40,1.78571428571429e-05
42,4.01785714285714e-05
44,1.78571428571429e-05
46,8.92857142857143e-06
48,0
50,8.92857142857143e-06
