snr,bErr
0,0.19975
2,0.145392857142857
4,0.105330357142857
6,0.0707321428571428
8,0.0470491071428571
10,0.0302589285714286
12,0.0198928571428572
14,0.0130625
16,0.00791964285714281
18,0.00495089285714284
20,0.00302678571428572
22,0.00216517857142858
24,0.0013125
26,0.000794642857142856
28,0.000517857142857142
30,0.000308035714285714
32,0.000191964285714286
34,0.000125
36,7.58928571428571e-05
38,4.91071428571428e-05
40,8.92857142857143e-06
42,2.23214285714286e-05
44,8.92857142857143e-06
46,4.46428571428571e-06
48,1.33928571428571e-05
50,0
