snr,bErr
0,0.209928571428571
2,0.156075892857143
4,0.110410714285714
6,0.0755758928571428
8,0.0513973214285715
10,0.0328883928571428
12,0.0211919642857143
14,0.0131607142857143
16,0.00838839285714282
18,0.00529910714285712
20,0.00357142857142857
22,0.00233482142857144
24,0.00129017857142857
26,0.000857142857142856
28,0.000473214285714286
30,0.000316964285714286
32,0.00021875
34,0.000147321428571429
36,0.000111607142857143
38,4.46428571428571e-05
40,2.67857142857143e-05
42,2.67857142857143e-05
44,1.33928571428571e-05
46,8.92857142857143e-06
48,0
50,4.46428571428571e-06
