snr,bErr
0,0.185732142857143
2,0.135549107142857
4,0.0976830357142857
6,0.0654776785714285
8,0.0428794642857143
10,0.0279464285714285
12,0.0181607142857143
14,0.0117633928571429
16,0.00737499999999996
18,0.00487946428571428
20,0.00290178571428572
22,0.00175892857142858
24,0.00110714285714286
26,0.000776785714285713
28,0.000450892857142857
30,0.000294642857142857
32,0.000174107142857143
34,8.03571428571428e-05
36,6.25e-05
38,4.46428571428571e-05
40,2.23214285714286e-05
42,1.33928571428571e-05
44,2.67857142857143e-05
46,4.46428571428571e-06
48,0
50,0
