snr,bErr
0,0.173209821428572
2,0.125732142857143
4,0.0881830357142857
6,0.0585089285714285
8,0.0404732142857143
10,0.0245758928571428
12,0.0167991071428572
14,0.0098125
16,0.00628571428571426
18,0.00418303571428571
20,0.00266071428571429
22,0.00154017857142858
24,0.00105803571428571
26,0.000602678571428571
28,0.000482142857142857
30,0.000241071428571429
32,0.000138392857142857
34,0.000116071428571429
36,7.58928571428571e-05
38,4.46428571428571e-05
40,4.46428571428571e-05
42,3.125e-05
44,4.46428571428571e-06
46,4.46428571428571e-06
48,8.92857142857143e-06
50,0
