snr,bErr
0,0.268325892857143
2,0.22328125
4,0.184129464285714
6,0.150870535714286
8,0.129790178571429
10,0.112107142857143
12,0.100455357142857
14,0.0932812499999999
16,0.089625
18,0.0861874999999999
20,0.0848303571428571
22,0.0838571428571429
24,0.0829955357142858
26,0.0823258928571429
28,0.0835401785714285
30,0.0807232142857141
32,0.081125
34,0.0807008928571427
36,0.0811205357142857
38,0.0801517857142856
40,0.0804732142857144
42,0.0802589285714285
44,0.0807321428571429
46,0.0810535714285715
48,0.0803928571428571
50,0.0808482142857143
